Title,Description,Link,Date,StartDate,EndDate,Location
Mladinski pevski festival Celje 2024,,"https://www.nasizbori.si/event/mladinski-pevski-festival-celje-2024/
https://dogodki.kulturnik.si/?where=Celje","sreda, 3. april 2024",Wed Apr 03 2024 00:00:00 GMT+0200 (Central European Summer Time),Sun Apr 07 2024 00:00:00 GMT+0200 (Central European Summer Time),Celje
Daaaaaalí!,,"https://www.kinodvor.org/film/daaaaaali/
https://dogodki.kulturnik.si/?where=Kinodvor%20dvorana
https://dogodki.kulturnik.si/?where=Ljubljana","sreda, 3. april 2024",Wed Apr 03 2024 13:00:00 GMT+0200 (Central European Summer Time),Wed Apr 03 2024 14:17:00 GMT+0200 (Central European Summer Time),"Kinodvor dvorana
Ljubljana"
Trio Vivere,,"https://www.kd-krsko.si/program/glasba/trio-vivere
https://dogodki.kulturnik.si/?where=Kulturni%20dom%20Kr%C5%A1ko
https://dogodki.kulturnik.si/?where=Kr%C5%A1ko","sreda, 3. april 2024",Wed Apr 03 2024 19:00:00 GMT+0200 (Central European Summer Time),,"Kulturni dom Krško
Krško"
Orto Fest: Plateau / Majmunska posla,,"https://www.orto-bar.com/dogodki/koncerti/orto-fest-2024-plateaumajmunska-posla/
https://dogodki.kulturnik.si/?where=Orto%20Bar
https://dogodki.kulturnik.si/?where=Ljubljana","sreda, 3. april 2024",Wed Apr 03 2024 20:00:00 GMT+0200 (Central European Summer Time),,"Orto Bar
Ljubljana"
KAKO SE ZNEBITI BODOČEGA MOŽA,,"https://www.mojekarte.si/si/kako-se-znebiti-bodocega-moza/vstopnice-1181163.html
https://dogodki.kulturnik.si/?where=Cankarjev%20dom%20Vrhnika
https://dogodki.kulturnik.si/?where=Vrhnika","sreda, 3. april 2024",Wed Apr 03 2024 20:00:00 GMT+0200 (Central European Summer Time),,"Cankarjev dom Vrhnika
Vrhnika"
"Kar želiš, to dobiš",,"https://www.mojekarte.si/si/kar-zelis-to-dobis/vstopnice-1181536.html
https://dogodki.kulturnik.si/?where=SiTiTeater%2C%20Ljubljana
https://dogodki.kulturnik.si/?where=Ljubljana","sreda, 3. april 2024",Wed Apr 03 2024 20:00:00 GMT+0200 (Central European Summer Time),,"SiTiTeater, Ljubljana
Ljubljana"
Rapetek Extra: Conway The Machine,,"https://www.facebook.com/events/916087193446056/
https://dogodki.kulturnik.si/?where=Cvetli%C4%8Darna
https://dogodki.kulturnik.si/?where=Ljubljana","sreda, 3. april 2024",Wed Apr 03 2024 20:00:00 GMT+0200 (Central European Summer Time),,"Cvetličarna
Ljubljana"
Ensemble Tacet (SI),,"http://www.seviqc-brezice.si/ensemble-tacet-si.5.html
https://dogodki.kulturnik.si/?where=Radio%20Slovenija%2C%20tretji%20program%2C%20program%20ARS","četrtek, 4. april 2024",Thu Apr 04 2024 00:00:00 GMT+0200 (Central European Summer Time),,"Radio Slovenija, tretji program, program ARS"
"Svetlejša prihodnost (95', drama komedija)",,"https://dogodki.kulturnik.si/?where=Kino%20Delavski%20Dom%20Trbovlje
https://dogodki.kulturnik.si/?where=Trbovlje","četrtek, 4. april 2024",Thu Apr 04 2024 18:00:00 GMT+0200 (Central European Summer Time),Thu Apr 04 2024 18:30:00 GMT+0200 (Central European Summer Time),"Kino Delavski Dom Trbovlje
Trbovlje"
"Mladi virtuozi: Ana Mir - rog, Godalni kvartet Opifex",,"https://ljubljanafestival.si/event/ana-mir-rog-godalni-kvartet-opifex/
https://dogodki.kulturnik.si/?where=Vite%C5%A1ka%20dvorana%2C%20Kri%C5%BEanke
https://dogodki.kulturnik.si/?where=Ljubljana","četrtek, 4. april 2024",Thu Apr 04 2024 19:00:00 GMT+0200 (Central European Summer Time),,"Viteška dvorana, Križanke
Ljubljana"
SMS 5: Za vse po vrsti,,"https://www.cd-cc.si/kultura/glasba/sms-5-za-vse-po-vrsti
https://dogodki.kulturnik.si/?where=Cankarjev%20dom
https://dogodki.kulturnik.si/?where=Ljubljana","četrtek, 4. april 2024",Thu Apr 04 2024 19:30:00 GMT+0200 (Central European Summer Time),,"Cankarjev dom
Ljubljana"
SMS 5: Za vse po vrsti,,"https://www.mojekarte.si/si/sms-5-za-vse-po-vrsti/vstopnice-1171956.html
https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Gallusova%20dvorana
https://dogodki.kulturnik.si/?where=Ljubljana","četrtek, 4. april 2024",Thu Apr 04 2024 19:30:00 GMT+0200 (Central European Summer Time),,"Cankarjev dom, Gallusova dvorana
Ljubljana"
"Kar želiš, to dobiš",,"https://www.mojekarte.si/si/kar-zelis-to-dobis/vstopnice-1181621.html
https://dogodki.kulturnik.si/?where=Festivalna%20dvorana%20Bled%20-%20Dvorana%20A
https://dogodki.kulturnik.si/?where=Bled","četrtek, 4. april 2024",Thu Apr 04 2024 20:00:00 GMT+0200 (Central European Summer Time),,"Festivalna dvorana Bled - Dvorana A
Bled"
Mr. Big,,"https://www.kinosiska.si/dogodek/mr-big-2/
https://dogodki.kulturnik.si/?where=CUK%20Kino%20%C5%A0i%C5%A1ka
https://dogodki.kulturnik.si/?where=Ljubljana","četrtek, 4. april 2024",Thu Apr 04 2024 20:00:00 GMT+0200 (Central European Summer Time),,"CUK Kino Šiška
Ljubljana"
Elliott Sharp & Saadet Türköz,,"https://www.jazzravne.si/event/e-mingus-usa/
https://dogodki.kulturnik.si/?where=KMKC%20Kompleks
https://dogodki.kulturnik.si/?where=Ravne%20na%20Koro%C5%A1kem","četrtek, 4. april 2024",Thu Apr 04 2024 20:00:00 GMT+0200 (Central European Summer Time),,"KMKC Kompleks
Ravne na Koroškem"
Grajske harmonije 2024: Samospevi primorskih skladateljev,,"https://kulturnidom-ng.si/events/samospevi-primorskih-skladateljev/
https://dogodki.kulturnik.si/?where=Grad%20Kromberk
https://dogodki.kulturnik.si/?where=Nova%20Gorica","četrtek, 4. april 2024",Thu Apr 04 2024 20:00:00 GMT+0200 (Central European Summer Time),,"Grad Kromberk
Nova Gorica"
SiTi za dobro musko: Krajnčan Brothers,,"https://www.mojekarte.si/si/siti-za-dobro-musko-krajncan-brothers/vstopnice-1181396.html
https://dogodki.kulturnik.si/?where=SiTiTeater%2C%20Ljubljana
https://dogodki.kulturnik.si/?where=Ljubljana","četrtek, 4. april 2024",Thu Apr 04 2024 20:00:00 GMT+0200 (Central European Summer Time),,"SiTiTeater, Ljubljana
Ljubljana"
Dejan Vunjak in Brendijeve barabe,,"https://www.facebook.com/photo/?fbid=920118012808010&set=a.343441213809029
https://dogodki.kulturnik.si/?where=Kulturni%20center%20Primo%C5%BEa%20Trubarja
https://dogodki.kulturnik.si/?where=%C5%A0entjernej","petek, 5. april 2024",Fri Apr 05 2024 00:00:00 GMT+0200 (Central European Summer Time),,"Kulturni center Primoža Trubarja
Šentjernej"
Zmelkoow,,"https://dogodki.kulturnik.si/?where=Lo%C5%A1ki%20Pub
https://dogodki.kulturnik.si/?where=%C5%A0kofja%20Loka","petek, 5. april 2024",Fri Apr 05 2024 00:00:00 GMT+0200 (Central European Summer Time),,"Loški Pub
Škofja Loka"
"Materinski čut (94', psihološki triler)",,"https://dogodki.kulturnik.si/?where=Kino%20Delavski%20Dom%20Trbovlje
https://dogodki.kulturnik.si/?where=Trbovlje","petek, 5. april 2024",Fri Apr 05 2024 17:00:00 GMT+0200 (Central European Summer Time),Fri Apr 05 2024 18:30:00 GMT+0200 (Central European Summer Time),"Kino Delavski Dom Trbovlje
Trbovlje"
Drobtine iz mišje doline,,"https://www.lg-mb.si/predstave/drobtine-iz-misje-doline_14/
https://dogodki.kulturnik.si/?where=Velika%20dvorana%2C%C2%A0Lutkovno%20gledali%C5%A1%C4%8De%20Maribor
https://dogodki.kulturnik.si/?where=Maribor","petek, 5. april 2024",Fri Apr 05 2024 17:00:00 GMT+0200 (Central European Summer Time),,"Velika dvorana, Lutkovno gledališče Maribor
Maribor"
Kristina Oberžan,,"https://www.facebook.com/events/764838981968356/
https://dogodki.kulturnik.si/?where=Hram%20kulture%20Arnolda%20Tovornika
https://dogodki.kulturnik.si/?where=Selnica%20ob%20Dravi","petek, 5. april 2024",Fri Apr 05 2024 19:00:00 GMT+0200 (Central European Summer Time),,"Hram kulture Arnolda Tovornika
Selnica ob Dravi"
"Prvo znamenje (118', grozljivka)",,"https://dogodki.kulturnik.si/?where=Kino%20Delavski%20Dom%20Trbovlje
https://dogodki.kulturnik.si/?where=Trbovlje","petek, 5. april 2024",Fri Apr 05 2024 19:00:00 GMT+0200 (Central European Summer Time),Fri Apr 05 2024 20:30:00 GMT+0200 (Central European Summer Time),"Kino Delavski Dom Trbovlje
Trbovlje"
Moj živòt je ROKentROL,,"https://www.zkts-ms.si/moj-zivot-je-rokentrol/
https://dogodki.kulturnik.si/?where=Gledali%C5%A1%C4%8De%20Park
https://dogodki.kulturnik.si/?where=Murska%20Sobota","petek, 5. april 2024",Fri Apr 05 2024 19:00:00 GMT+0200 (Central European Summer Time),,"Gledališče Park
Murska Sobota"
ŽIGOLO S.P.,,"https://www.mojekarte.si/si/zigolo-s-p/vstopnice-1178343.html
https://dogodki.kulturnik.si/?where=Cankarjev%20dom%20Vrhnika
https://dogodki.kulturnik.si/?where=Vrhnika","petek, 5. april 2024",Fri Apr 05 2024 19:30:00 GMT+0200 (Central European Summer Time),,"Cankarjev dom Vrhnika
Vrhnika"
SMS 5: Za vse po vrsti,,"https://www.cd-cc.si/kultura/glasba/sms-5-za-vse-po-vrsti
https://dogodki.kulturnik.si/?where=Cankarjev%20dom
https://dogodki.kulturnik.si/?where=Ljubljana","petek, 5. april 2024",Fri Apr 05 2024 19:30:00 GMT+0200 (Central European Summer Time),,"Cankarjev dom
Ljubljana"
SMS 5: Za vse po vrsti,,"https://www.mojekarte.si/si/sms-5-za-vse-po-vrsti/vstopnice-1171957.html
https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Gallusova%20dvorana
https://dogodki.kulturnik.si/?where=Ljubljana","petek, 5. april 2024",Fri Apr 05 2024 19:30:00 GMT+0200 (Central European Summer Time),,"Cankarjev dom, Gallusova dvorana
Ljubljana"
Caro Mio,,"https://www.facebook.com/events/743230387516547/
https://dogodki.kulturnik.si/?where=Mediadom%20Piran
https://dogodki.kulturnik.si/?where=Piran","petek, 5. april 2024",Fri Apr 05 2024 19:30:00 GMT+0200 (Central European Summer Time),,"Mediadom Piran
Piran"
Orto Fest: Crvena Jabuka,,"https://www.orto-bar.com/dogodki/koncerti/orto-fest-2024-crvena-jabuka/
https://dogodki.kulturnik.si/?where=Orto%20Bar
https://dogodki.kulturnik.si/?where=Ljubljana","petek, 5. april 2024",Fri Apr 05 2024 20:00:00 GMT+0200 (Central European Summer Time),,"Orto Bar
Ljubljana"
Jazz Club Ljubljanski grad: Špil Ligni,,"https://www.ljubljanskigrad.si/sl/dogodki/-pil-Ligni/
https://dogodki.kulturnik.si/?where=Ljubljanski%20grad
https://dogodki.kulturnik.si/?where=Ljubljana","petek, 5. april 2024",Fri Apr 05 2024 20:00:00 GMT+0200 (Central European Summer Time),,"Ljubljanski grad
Ljubljana"
Adi Smolar,,"https://www.facebook.com/events/7520959794621928/
https://dogodki.kulturnik.si/?where=Kulturni%20dom%20Izola
https://dogodki.kulturnik.si/?where=Izola","petek, 5. april 2024",Fri Apr 05 2024 20:00:00 GMT+0200 (Central European Summer Time),,"Kulturni dom Izola
Izola"
Državno tekmovanje mladinskih zborov 2024,,"https://www.nasizbori.si/event/drzavno-tekmovanje-mladinskih-zborov-2024/
https://dogodki.kulturnik.si/?where=Celje","sobota, 6. april 2024",Sat Apr 06 2024 00:00:00 GMT+0200 (Central European Summer Time),Sun Apr 07 2024 00:00:00 GMT+0200 (Central European Summer Time),Celje
Mali Timotej,,"https://www.kinodvor.org/film/mali-timotej/
https://dogodki.kulturnik.si/?where=Kinodvor%20dvorana
https://dogodki.kulturnik.si/?where=Ljubljana","sobota, 6. april 2024",Sat Apr 06 2024 10:00:00 GMT+0200 (Central European Summer Time),Sat Apr 06 2024 10:20:00 GMT+0200 (Central European Summer Time),"Kinodvor dvorana
Ljubljana"
Drobtine iz mišje doline,,"https://www.lg-mb.si/predstave/drobtine-iz-misje-doline_14/
https://dogodki.kulturnik.si/?where=Velika%20dvorana%2C%C2%A0Lutkovno%20gledali%C5%A1%C4%8De%20Maribor
https://dogodki.kulturnik.si/?where=Maribor","sobota, 6. april 2024",Sat Apr 06 2024 10:00:00 GMT+0200 (Central European Summer Time),,"Velika dvorana, Lutkovno gledališče Maribor
Maribor"
Jež Milan in jutranja tečnoba,,"https://www.mojekarte.si/si/jez-milan-in-jutranja-tecnoba/vstopnice-1174113.html
https://dogodki.kulturnik.si/?where=SiTiTeater%2C%20Ljubljana
https://dogodki.kulturnik.si/?where=Ljubljana","sobota, 6. april 2024",Sat Apr 06 2024 11:00:00 GMT+0200 (Central European Summer Time),,"SiTiTeater, Ljubljana
Ljubljana"
2. simfonični koncert za mlade,,"https://www.sng-mb.si/event/2-simfonicni-koncert-za-mlade/
https://dogodki.kulturnik.si/?where=SNG%20%C2%A0Opera%20Balet%20Maribor
https://dogodki.kulturnik.si/?where=Maribor","sobota, 6. april 2024",Sat Apr 06 2024 11:00:00 GMT+0200 (Central European Summer Time),,"SNG  Opera Balet Maribor
Maribor"
2. Simfonični koncert za mlade,,"https://sngmb.mojekarte.si/si/2-simfonicni-koncert-za-mlade/vstopnice-1181374.html
https://dogodki.kulturnik.si/?where=Kazinska%20dvorana%20Maribor
https://dogodki.kulturnik.si/?where=Maribor","sobota, 6. april 2024",Sat Apr 06 2024 11:00:00 GMT+0200 (Central European Summer Time),,"Kazinska dvorana Maribor
Maribor"
Dunja in princesa iz Alepa,,"https://www.kinodvor.org/film/dunja-in-princesa-iz-alepa/
https://dogodki.kulturnik.si/?where=Kinodvor%20dvorana
https://dogodki.kulturnik.si/?where=Ljubljana","sobota, 6. april 2024",Sat Apr 06 2024 15:00:00 GMT+0200 (Central European Summer Time),Sat Apr 06 2024 16:12:00 GMT+0200 (Central European Summer Time),"Kinodvor dvorana
Ljubljana"
"Noetova barka: Glasbena pustolovščina (84', sinhro, animiran pustolovski glasbeni,)",,"https://dogodki.kulturnik.si/?where=Kino%20Delavski%20Dom%20Trbovlje
https://dogodki.kulturnik.si/?where=Trbovlje","sobota, 6. april 2024",Sat Apr 06 2024 17:00:00 GMT+0200 (Central European Summer Time),Sat Apr 06 2024 18:30:00 GMT+0200 (Central European Summer Time),"Kino Delavski Dom Trbovlje
Trbovlje"
Adi Smolar,,"https://www.facebook.com/events/960563439021685/
https://dogodki.kulturnik.si/?where=Kulturni%20dom%2C%20%C5%BDelezniki
https://dogodki.kulturnik.si/?where=%C5%BDelezniki","sobota, 6. april 2024",Sat Apr 06 2024 19:00:00 GMT+0200 (Central European Summer Time),,"Kulturni dom, Železniki
Železniki"
"Prvo znamenje (118', grozljivka)",,"https://dogodki.kulturnik.si/?where=Kino%20Delavski%20Dom%20Trbovlje
https://dogodki.kulturnik.si/?where=Trbovlje","sobota, 6. april 2024",Sat Apr 06 2024 19:00:00 GMT+0200 (Central European Summer Time),Sat Apr 06 2024 20:30:00 GMT+0200 (Central European Summer Time),"Kino Delavski Dom Trbovlje
Trbovlje"
Kokosy,,"https://www.facebook.com/events/937911921138646/
https://dogodki.kulturnik.si/?where=eMCe%20plac%2C%20Velenje
https://dogodki.kulturnik.si/?where=Velenje","sobota, 6. april 2024",Sat Apr 06 2024 19:00:00 GMT+0200 (Central European Summer Time),,"eMCe plac, Velenje
Velenje"
Manca Špik,,"https://www.facebook.com/events/344842811701994/
https://dogodki.kulturnik.si/?where=Narodni%20dom%20Me%C5%BEica
https://dogodki.kulturnik.si/?where=Me%C5%BEica","sobota, 6. april 2024",Sat Apr 06 2024 19:00:00 GMT+0200 (Central European Summer Time),,"Narodni dom Mežica
Mežica"
NE TI MENI ALICE (Once Again),,"https://www.ikcsentjur.si/napovedujemo/NE-TI-MENI-ALICE-Once-Again_1/
https://dogodki.kulturnik.si/?where=Ipav%C4%8Dev%20kulturni%20center%20%C5%A0entjur
https://dogodki.kulturnik.si/?where=%C5%A0entjur","sobota, 6. april 2024",Sat Apr 06 2024 19:00:00 GMT+0200 (Central European Summer Time),,"Ipavčev kulturni center Šentjur
Šentjur"
Abonma Grande: PO UG Konservatorija Maribor,,"https://www.dpgkoper.com/index.php?id=112&p=&search=#ontitle
https://dogodki.kulturnik.si/?where=Avditorij%20Portoro%C5%BE
https://dogodki.kulturnik.si/?where=Portoro%C5%BE","sobota, 6. april 2024",Sat Apr 06 2024 19:00:00 GMT+0200 (Central European Summer Time),,"Avditorij Portorož
Portorož"
"Monkey man: Krvavo maščevanje (', akkcijski triler)",,"https://dogodki.kulturnik.si/?where=Kino%20Delavski%20Dom%20Trbovlje
https://dogodki.kulturnik.si/?where=Trbovlje","sobota, 6. april 2024",Sat Apr 06 2024 19:00:00 GMT+0200 (Central European Summer Time),Sat Apr 06 2024 19:30:00 GMT+0200 (Central European Summer Time),"Kino Delavski Dom Trbovlje
Trbovlje"
Slovenija šteje - premiera,,"https://www.mojekarte.si/si/slovenija-steje-premiera/vstopnice-1181524.html
https://dogodki.kulturnik.si/?where=SMG%3A%20Zgornja%20dvorana
https://dogodki.kulturnik.si/?where=Ljubljana","sobota, 6. april 2024",Sat Apr 06 2024 19:30:00 GMT+0200 (Central European Summer Time),,"SMG: Zgornja dvorana
Ljubljana"
Žan Serčič,,"https://www.kulturnidom-postojna.si/objava/882054
https://dogodki.kulturnik.si/?where=Kulturni%20dom%20Postojna
https://dogodki.kulturnik.si/?where=Postojna","sobota, 6. april 2024",Sat Apr 06 2024 20:00:00 GMT+0200 (Central European Summer Time),,"Kulturni dom Postojna
Postojna"
Nina Pušlar,,"https://www.facebook.com/events/328343326773925/
https://dogodki.kulturnik.si/?where=%C5%A0portna%20dvorana%20Medvode%2C%20Medvode
https://dogodki.kulturnik.si/?where=Medvode","sobota, 6. april 2024",Sat Apr 06 2024 20:00:00 GMT+0200 (Central European Summer Time),,"Športna dvorana Medvode, Medvode
Medvode"
Siddharta,,"https://www.facebook.com/events/893867022292173/
https://dogodki.kulturnik.si/?where=Celjski%20sejem%2C%20Celje
https://dogodki.kulturnik.si/?where=Celje","sobota, 6. april 2024",Sat Apr 06 2024 20:00:00 GMT+0200 (Central European Summer Time),,"Celjski sejem, Celje
Celje"
The Dreams / Retro Kult,,"https://www.facebook.com/events/285454784560126/
https://dogodki.kulturnik.si/?where=Vetrinjc%20-%20BarCoda%2C%20Maribor","sobota, 6. april 2024",Sat Apr 06 2024 20:00:00 GMT+0200 (Central European Summer Time),,"Vetrinjc - BarCoda, Maribor"
Orto Fest: Elemental,,"https://www.orto-bar.com/dogodki/koncerti/orto-fest-2024-elemental/
https://dogodki.kulturnik.si/?where=Orto%20Bar
https://dogodki.kulturnik.si/?where=Ljubljana","sobota, 6. april 2024",Sat Apr 06 2024 20:00:00 GMT+0200 (Central European Summer Time),,"Orto Bar
Ljubljana"
Jimi Hendrix Night,,"https://www.facebook.com/events/368346959399570/
https://dogodki.kulturnik.si/?where=Kulturni%20dom%20Medvode
https://dogodki.kulturnik.si/?where=Medvode","sobota, 6. april 2024",Sat Apr 06 2024 20:00:00 GMT+0200 (Central European Summer Time),,"Kulturni dom Medvode
Medvode"
Mi2,,"https://klubar.si/event/mi2-2/
https://dogodki.kulturnik.si/?where=lubar
https://dogodki.kulturnik.si/?where=Kranj","sobota, 6. april 2024",Sat Apr 06 2024 22:00:00 GMT+0200 (Central European Summer Time),,"lubar
Kranj"
"Široko in Kraljestvo vetrov (75', sinhro, celovečerni animir. film,)",,"https://dogodki.kulturnik.si/?where=Kino%20Delavski%20Dom%20Trbovlje
https://dogodki.kulturnik.si/?where=Trbovlje","nedelja, 7. april 2024",Sun Apr 07 2024 17:00:00 GMT+0200 (Central European Summer Time),Sun Apr 07 2024 18:30:00 GMT+0200 (Central European Summer Time),"Kino Delavski Dom Trbovlje
Trbovlje"
Korzet,,"https://www.kinodvor.org/film/korzet/
https://dogodki.kulturnik.si/?where=Kinodvor%20dvorana
https://dogodki.kulturnik.si/?where=Ljubljana","nedelja, 7. april 2024",Sun Apr 07 2024 19:00:00 GMT+0200 (Central European Summer Time),Sun Apr 07 2024 20:53:00 GMT+0200 (Central European Summer Time),"Kinodvor dvorana
Ljubljana"
