Title,Description,Link,Date,Location
Razstava Rachele Gigli: Mikorize,,/sl/koledar-dogodkov/2024-01-27/2024020610510787/razstava-rachele-gigli:-mikorize/,"

					27.01.2024 - 20.03.2024
				 
","

						Klub Štala, Lokavec 45
					"
Razstava likovnih del Marije Prelog: Zlati poljub/Poljub zlata in ptice,,/sl/koledar-dogodkov/2024-02-05/2024020912071226/razstava-likovnih-del-marije-prelog:-zlati-poljub-poljub-zlata-in-ptice/,"

					05.02.2024 - 29.02.2024
				 
","

						Goriška knjižnica Franceta Bevka Nova Gorica
					"
Razstava: Na vroči strani Alp,,/sl/koledar-dogodkov/2024-02-05/2024020912033695/razstava:-na-vroci-strani-alp/,"

					05.02.2024 - 29.02.2024
				 
","

						Goriška knjižnica Franceta Bevka Nova Gorica
					"
3. mednarodni extempore In vendar oživi,,/sl/koledar-dogodkov/2024-02-08/2024020709321811/3-mednarodni-extempore-in-vendar-ozivi/,"

					08.02.2024 - 30.04.2024
				 
","

						Točka ZKD Nova Gorica, Gradnikove brigade 25, Nova Gorica
					"
Likovna razstava Bojana Kovača,,/sl/koledar-dogodkov/2024-02-10/2024020111512796/likovna-razstava-bojana-kovaca/,"

					10.02.2024 - 11.03.2024
				 
","

						dvorana Društva MOST
					"
Razstava: Stari čebelnjak Maks pripoveduje: panjske končnice skozi čas,,/sl/koledar-dogodkov/2024-02-11/2024020910284113/razstava:-stari-cebelnjak-maks-pripoveduje:-panjske-koncnice-skozi-cas/,"

					11.02.2024 - 09.03.2024
				 
","

						Galerija Vipavski Križ
					"
Razstava: Hotel Sabotin skozi čas,,/sl/koledar-dogodkov/2024-02-14/2024021510385499/razstava:-hotel-sabotin-skozi-cas/,"

					14.02.2024 - 31.03.2024
				 
","

						Hotel Sabotin, Solkan
					"
Razstava: Miran Kordež 1962–2023,,/sl/koledar-dogodkov/2024-02-15/2024022009112425/razstava:-miran-kordez-1962–2023/,"

					15.02.2024 - 13.03.2024
				 
","

						Lokarjeva galerija, Ajdovščina
					"
Zimske počitnice za mlade: v izi,,/sl/koledar-dogodkov/2024-02-19/2024020214383483/zimske-pocitnice-za-mlade:-v-izi/,"

					19.02.2024 - 23.02.2024
				 

					10:00
													- 12:00
								","

						MKC Hiša mladih Ajdovščina
					"
Kino Ajdovščina: Šola čarobnih živali 2 (sinhronizirana družinska avantura),,/sl/koledar-dogodkov/2024-02-22/2024020511172193/kino-ajdovscina:-sola-carobnih-zivali-2-sinhronizirana-druzinska-avantura/,"

					22.02.2024
				 

					16:00
												","

						Dvorana prve slovenske vlade Ajdovščina
					"
Kino Ajdovščina: Kaj pa Ester? (slovenska romantična komedija),,/sl/koledar-dogodkov/2024-02-22/2024020511185443/kino-ajdovscina:-kaj-pa-ester-slovenska-romanticna-komedija/,"

					22.02.2024
				 

					18:00
												","

						Dvorana prve slovenske vlade Ajdovščina
					"
Kino Ajdovščina: Čebelar (akcijski triler),,/sl/koledar-dogodkov/2024-02-22/2024020511204064/kino-ajdovscina:-cebelar-akcijski-triler/,"

					22.02.2024
				 

					20:00
												","

						Dvorana prve slovenske vlade Ajdovščina
					"
Plesna delavnica: Shaabi evolucija z Natašo Kočar,,/sl/koledar-dogodkov/2024-02-22/2024020709185463/plesna-delavnica:-shaabi-evolucija-z-nataso-kocar/,"

					22.02.2024
				 

					19:00
													- 21:00
								","

						Točka ZKD Nova Gorica, Gradnikove brigade 25, Nova Gorica
					"
Bralni krožek Branik,,/sl/koledar-dogodkov/2024-02-22/2024020912534238/bralni-krozek-branik/,"

					22.02.2024
				 

					18:00
													- 19:00
								","

						Krajevna knjižnica Branik
					"
Alzheimer cafe: aktivnosti za in z ljudmi z demenco,,/sl/koledar-dogodkov/2024-02-22/2024022008420809/alzheimer-cafe:-aktivnosti-za-in-z-ljudmi-z-demenco/,"

					22.02.2024
				 

					16:30
												","

						Hiša dobre volje, Ajdovščina
					"
Razstava Rachele Gigli: Mikorize,,/sl/koledar-dogodkov/2024-01-27/2024020610510787/razstava-rachele-gigli:-mikorize/,"

					27.01.2024 - 20.03.2024
				 
","

						Klub Štala, Lokavec 45
					"
Razstava likovnih del Marije Prelog: Zlati poljub/Poljub zlata in ptice,,/sl/koledar-dogodkov/2024-02-05/2024020912071226/razstava-likovnih-del-marije-prelog:-zlati-poljub-poljub-zlata-in-ptice/,"

					05.02.2024 - 29.02.2024
				 
","

						Goriška knjižnica Franceta Bevka Nova Gorica
					"
Razstava: Na vroči strani Alp,,/sl/koledar-dogodkov/2024-02-05/2024020912033695/razstava:-na-vroci-strani-alp/,"

					05.02.2024 - 29.02.2024
				 
","

						Goriška knjižnica Franceta Bevka Nova Gorica
					"
3. mednarodni extempore In vendar oživi,,/sl/koledar-dogodkov/2024-02-08/2024020709321811/3-mednarodni-extempore-in-vendar-ozivi/,"

					08.02.2024 - 30.04.2024
				 
","

						Točka ZKD Nova Gorica, Gradnikove brigade 25, Nova Gorica
					"
Likovna razstava Bojana Kovača,,/sl/koledar-dogodkov/2024-02-10/2024020111512796/likovna-razstava-bojana-kovaca/,"

					10.02.2024 - 11.03.2024
				 
","

						dvorana Društva MOST
					"
Razstava: Stari čebelnjak Maks pripoveduje: panjske končnice skozi čas,,/sl/koledar-dogodkov/2024-02-11/2024020910284113/razstava:-stari-cebelnjak-maks-pripoveduje:-panjske-koncnice-skozi-cas/,"

					11.02.2024 - 09.03.2024
				 
","

						Galerija Vipavski Križ
					"
Razstava: Hotel Sabotin skozi čas,,/sl/koledar-dogodkov/2024-02-14/2024021510385499/razstava:-hotel-sabotin-skozi-cas/,"

					14.02.2024 - 31.03.2024
				 
","

						Hotel Sabotin, Solkan
					"
Razstava: Miran Kordež 1962–2023,,/sl/koledar-dogodkov/2024-02-15/2024022009112425/razstava:-miran-kordez-1962–2023/,"

					15.02.2024 - 13.03.2024
				 
","

						Lokarjeva galerija, Ajdovščina
					"
Zimske počitnice za mlade: v izi,,/sl/koledar-dogodkov/2024-02-19/2024020214383483/zimske-pocitnice-za-mlade:-v-izi/,"

					19.02.2024 - 23.02.2024
				 

					10:00
													- 12:00
								","

						MKC Hiša mladih Ajdovščina
					"
Kino Ajdovščina: Nina in ježeva skrivnost (sinhroniziran animirani film),,/sl/koledar-dogodkov/2024-02-23/2024020511285455/kino-ajdovscina:-nina-in-jezeva-skrivnost-sinhroniziran-animirani-film/,"

					23.02.2024
				 

					16:00
												","

						Dvorana prve slovenske vlade Ajdovščina
					"
Kino Ajdovščina: Gepack (slovenska komedija),,/sl/koledar-dogodkov/2024-02-23/2024020511311842/kino-ajdovscina:-gepack-slovenska-komedija/,"

					23.02.2024
				 

					18:00
												","

						Dvorana prve slovenske vlade Ajdovščina
					"
Kino Ajdovščina: Bob Marley: One Love (biografski film),,/sl/koledar-dogodkov/2024-02-23/2024020511333895/kino-ajdovscina:-bob-marley:-one-love-biografski-film/,"

					23.02.2024
				 

					20:00
												","

						Dvorana prve slovenske vlade Ajdovščina
					"
Razstava Rachele Gigli: Mikorize,,/sl/koledar-dogodkov/2024-01-27/2024020610510787/razstava-rachele-gigli:-mikorize/,"

					27.01.2024 - 20.03.2024
				 
","

						Klub Štala, Lokavec 45
					"
Razstava: Na vroči strani Alp,,/sl/koledar-dogodkov/2024-02-05/2024020912033695/razstava:-na-vroci-strani-alp/,"

					05.02.2024 - 29.02.2024
				 
","

						Goriška knjižnica Franceta Bevka Nova Gorica
					"
Razstava likovnih del Marije Prelog: Zlati poljub/Poljub zlata in ptice,,/sl/koledar-dogodkov/2024-02-05/2024020912071226/razstava-likovnih-del-marije-prelog:-zlati-poljub-poljub-zlata-in-ptice/,"

					05.02.2024 - 29.02.2024
				 
","

						Goriška knjižnica Franceta Bevka Nova Gorica
					"
3. mednarodni extempore In vendar oživi,,/sl/koledar-dogodkov/2024-02-08/2024020709321811/3-mednarodni-extempore-in-vendar-ozivi/,"

					08.02.2024 - 30.04.2024
				 
","

						Točka ZKD Nova Gorica, Gradnikove brigade 25, Nova Gorica
					"
Likovna razstava Bojana Kovača,,/sl/koledar-dogodkov/2024-02-10/2024020111512796/likovna-razstava-bojana-kovaca/,"

					10.02.2024 - 11.03.2024
				 
","

						dvorana Društva MOST
					"
Razstava: Stari čebelnjak Maks pripoveduje: panjske končnice skozi čas,,/sl/koledar-dogodkov/2024-02-11/2024020910284113/razstava:-stari-cebelnjak-maks-pripoveduje:-panjske-koncnice-skozi-cas/,"

					11.02.2024 - 09.03.2024
				 
","

						Galerija Vipavski Križ
					"
Razstava: Hotel Sabotin skozi čas,,/sl/koledar-dogodkov/2024-02-14/2024021510385499/razstava:-hotel-sabotin-skozi-cas/,"

					14.02.2024 - 31.03.2024
				 
","

						Hotel Sabotin, Solkan
					"
Razstava: Miran Kordež 1962–2023,,/sl/koledar-dogodkov/2024-02-15/2024022009112425/razstava:-miran-kordez-1962–2023/,"

					15.02.2024 - 13.03.2024
				 
","

						Lokarjeva galerija, Ajdovščina
					"
Komedija: Vaja zbora,,/sl/koledar-dogodkov/2024-02-24/2024012315313625/komedija:-vaja-zbora/,"

					24.02.2024
				 

					19:00
												","

						Dvorana prve slovenske vlade Ajdovščina
					"
Primorska poje 2024: Bilje,,/sl/koledar-dogodkov/2024-02-24/2024021511384946/primorska-poje-2024:-bilje/,"

					24.02.2024
				 

					18:00
												","

						Dom krajanov Negovana Nemca Bilje
					"
Ostržkova predstava: Čudežna omara,,/sl/koledar-dogodkov/2024-02-24/2024021912431699/ostrzkova-predstava:-cudezna-omara/,"

					24.02.2024
				 

					10:30
												","

						Dvorana prve slovenske vlade Ajdovščina
					"
Zborovski koncert: Moja pesem je moj obraz,,/sl/koledar-dogodkov/2024-02-24/2024022008461446/zborovski-koncert:-moja-pesem-je-moj-obraz/,"

					24.02.2024
				 

					18:00
												","

						samostanska cerkev v Vipavskem Križu
					"
Rokometna tekma: ŽRK Mlinotest Ajdovščina : RK Krim Mercator,,/sl/koledar-dogodkov/2024-02-24/2024022108582572/rokometna-tekma:-zrk-mlinotest-ajdovscina-:-rk-krim-mercator/,"

					24.02.2024
				 

					20:00
												","

						velika dvorana Športnega centra Ajdovščina
					"
Razstava Rachele Gigli: Mikorize,,/sl/koledar-dogodkov/2024-01-27/2024020610510787/razstava-rachele-gigli:-mikorize/,"

					27.01.2024 - 20.03.2024
				 
","

						Klub Štala, Lokavec 45
					"
Razstava likovnih del Marije Prelog: Zlati poljub/Poljub zlata in ptice,,/sl/koledar-dogodkov/2024-02-05/2024020912071226/razstava-likovnih-del-marije-prelog:-zlati-poljub-poljub-zlata-in-ptice/,"

					05.02.2024 - 29.02.2024
				 
","

						Goriška knjižnica Franceta Bevka Nova Gorica
					"
Razstava: Na vroči strani Alp,,/sl/koledar-dogodkov/2024-02-05/2024020912033695/razstava:-na-vroci-strani-alp/,"

					05.02.2024 - 29.02.2024
				 
","

						Goriška knjižnica Franceta Bevka Nova Gorica
					"
3. mednarodni extempore In vendar oživi,,/sl/koledar-dogodkov/2024-02-08/2024020709321811/3-mednarodni-extempore-in-vendar-ozivi/,"

					08.02.2024 - 30.04.2024
				 
","

						Točka ZKD Nova Gorica, Gradnikove brigade 25, Nova Gorica
					"
Likovna razstava Bojana Kovača,,/sl/koledar-dogodkov/2024-02-10/2024020111512796/likovna-razstava-bojana-kovaca/,"

					10.02.2024 - 11.03.2024
				 
","

						dvorana Društva MOST
					"
Razstava: Stari čebelnjak Maks pripoveduje: panjske končnice skozi čas,,/sl/koledar-dogodkov/2024-02-11/2024020910284113/razstava:-stari-cebelnjak-maks-pripoveduje:-panjske-koncnice-skozi-cas/,"

					11.02.2024 - 09.03.2024
				 
","

						Galerija Vipavski Križ
					"
Razstava: Hotel Sabotin skozi čas,,/sl/koledar-dogodkov/2024-02-14/2024021510385499/razstava:-hotel-sabotin-skozi-cas/,"

					14.02.2024 - 31.03.2024
				 
","

						Hotel Sabotin, Solkan
					"
Razstava: Miran Kordež 1962–2023,,/sl/koledar-dogodkov/2024-02-15/2024022009112425/razstava:-miran-kordez-1962–2023/,"

					15.02.2024 - 13.03.2024
				 
","

						Lokarjeva galerija, Ajdovščina
					"
"Bumbarji, muzikal Slovenskega dijaškega doma Simona Gregorčiča v Gorici",,"/sl/koledar-dogodkov/2024-02-25/2024011808261730/bumbarji,-muzikal-slovenskega-dijaskega-doma-simona-gregorcica-v-gorici/","

					25.02.2024
				 

					18:00
												","

						Dvorana prve slovenske vlade Ajdovščina
					"
Po sledeh skritih simbolov in arhitekturne dediščine dr. Darka Likarja – voden ogled,,/sl/koledar-dogodkov/2024-02-25/2024020512414053/po-sledeh-skritih-simbolov-in-arhitekturne-dediscine-dr-darka-likarja-–-voden-ogled/,"

					25.02.2024
				 

					10:00
													- 11:00
								","

						Pomnik miru na Cerju
					"
Brezplačno vodenje: Ajdovščina – od rimske utrdbe do industrijskega giganta,,/sl/koledar-dogodkov/2024-02-25/2024020913532282/brezplacno-vodenje:-ajdovscina-–-od-rimske-utrdbe-do-industrijskega-giganta/,"

					25.02.2024
				 

					16:00
													- 17:30
								","

						zbirno mesto: pred TIC-em Ajdovščina
					"
Primorska poje 2024: Branik,,/sl/koledar-dogodkov/2024-02-25/2024021511420116/primorska-poje-2024:-branik/,"

					25.02.2024
				 

					18:00
												","

						Kulturni dom Branik
					"
Komedija: Sex in ljubosumnost,,/sl/koledar-dogodkov/2024-02-25/2024022112283213/komedija:-sex-in-ljubosumnost/,"

					25.02.2024
				 

					17:00
												","

						Mladinski center Vrtojba
					"
Razstava Rachele Gigli: Mikorize,,/sl/koledar-dogodkov/2024-01-27/2024020610510787/razstava-rachele-gigli:-mikorize/,"

					27.01.2024 - 20.03.2024
				 
","

						Klub Štala, Lokavec 45
					"
Razstava likovnih del Marije Prelog: Zlati poljub/Poljub zlata in ptice,,/sl/koledar-dogodkov/2024-02-05/2024020912071226/razstava-likovnih-del-marije-prelog:-zlati-poljub-poljub-zlata-in-ptice/,"

					05.02.2024 - 29.02.2024
				 
","

						Goriška knjižnica Franceta Bevka Nova Gorica
					"
Razstava: Na vroči strani Alp,,/sl/koledar-dogodkov/2024-02-05/2024020912033695/razstava:-na-vroci-strani-alp/,"

					05.02.2024 - 29.02.2024
				 
","

						Goriška knjižnica Franceta Bevka Nova Gorica
					"
3. mednarodni extempore In vendar oživi,,/sl/koledar-dogodkov/2024-02-08/2024020709321811/3-mednarodni-extempore-in-vendar-ozivi/,"

					08.02.2024 - 30.04.2024
				 
","

						Točka ZKD Nova Gorica, Gradnikove brigade 25, Nova Gorica
					"
Likovna razstava Bojana Kovača,,/sl/koledar-dogodkov/2024-02-10/2024020111512796/likovna-razstava-bojana-kovaca/,"

					10.02.2024 - 11.03.2024
				 
","

						dvorana Društva MOST
					"
Razstava: Stari čebelnjak Maks pripoveduje: panjske končnice skozi čas,,/sl/koledar-dogodkov/2024-02-11/2024020910284113/razstava:-stari-cebelnjak-maks-pripoveduje:-panjske-koncnice-skozi-cas/,"

					11.02.2024 - 09.03.2024
				 
","

						Galerija Vipavski Križ
					"
Razstava: Hotel Sabotin skozi čas,,/sl/koledar-dogodkov/2024-02-14/2024021510385499/razstava:-hotel-sabotin-skozi-cas/,"

					14.02.2024 - 31.03.2024
				 
","

						Hotel Sabotin, Solkan
					"
Razstava: Miran Kordež 1962–2023,,/sl/koledar-dogodkov/2024-02-15/2024022009112425/razstava:-miran-kordez-1962–2023/,"

					15.02.2024 - 13.03.2024
				 
","

						Lokarjeva galerija, Ajdovščina
					"
Delavnica: Pridelovanje češenj,,/sl/koledar-dogodkov/2024-02-26/2024020511370091/delavnica:-pridelovanje-cesenj/,"

					26.02.2024
				 

					18:00
												","

						Učni center Brje
					"
Kulturni večer s patrom Karlom Gržanom,,/sl/koledar-dogodkov/2024-02-26/2024020512384477/kulturni-vecer-s-patrom-karlom-grzanom/,"

					26.02.2024
				 

					18:00
													- 20:00
								","

						Pomnik miru na Cerju
					"
Predstavitev mladinskega romana Samante Kobal: Menjam strah za sladoled,,/sl/koledar-dogodkov/2024-02-26/2024020911460461/predstavitev-mladinskega-romana-samante-kobal:-menjam-strah-za-sladoled/,"

					26.02.2024
				 

					18:00
													- 19:00
								","

						Goriška knjižnica Franceta Bevka Nova Gorica
					"
Pravljična urica za otroke v Mirnu,,/sl/koledar-dogodkov/2024-02-26/2024020912192855/pravljicna-urica-za-otroke-v-mirnu/,"

					26.02.2024
				 

					16:30
													- 17:00
								","

						Krajevna knjižnica Miren
					"
Razstava Rachele Gigli: Mikorize,,/sl/koledar-dogodkov/2024-01-27/2024020610510787/razstava-rachele-gigli:-mikorize/,"

					27.01.2024 - 20.03.2024
				 
","

						Klub Štala, Lokavec 45
					"
Razstava: Na vroči strani Alp,,/sl/koledar-dogodkov/2024-02-05/2024020912033695/razstava:-na-vroci-strani-alp/,"

					05.02.2024 - 29.02.2024
				 
","

						Goriška knjižnica Franceta Bevka Nova Gorica
					"
Razstava likovnih del Marije Prelog: Zlati poljub/Poljub zlata in ptice,,/sl/koledar-dogodkov/2024-02-05/2024020912071226/razstava-likovnih-del-marije-prelog:-zlati-poljub-poljub-zlata-in-ptice/,"

					05.02.2024 - 29.02.2024
				 
","

						Goriška knjižnica Franceta Bevka Nova Gorica
					"
3. mednarodni extempore In vendar oživi,,/sl/koledar-dogodkov/2024-02-08/2024020709321811/3-mednarodni-extempore-in-vendar-ozivi/,"

					08.02.2024 - 30.04.2024
				 
","

						Točka ZKD Nova Gorica, Gradnikove brigade 25, Nova Gorica
					"
Likovna razstava Bojana Kovača,,/sl/koledar-dogodkov/2024-02-10/2024020111512796/likovna-razstava-bojana-kovaca/,"

					10.02.2024 - 11.03.2024
				 
","

						dvorana Društva MOST
					"
Razstava: Stari čebelnjak Maks pripoveduje: panjske končnice skozi čas,,/sl/koledar-dogodkov/2024-02-11/2024020910284113/razstava:-stari-cebelnjak-maks-pripoveduje:-panjske-koncnice-skozi-cas/,"

					11.02.2024 - 09.03.2024
				 
","

						Galerija Vipavski Križ
					"
Razstava: Hotel Sabotin skozi čas,,/sl/koledar-dogodkov/2024-02-14/2024021510385499/razstava:-hotel-sabotin-skozi-cas/,"

					14.02.2024 - 31.03.2024
				 
","

						Hotel Sabotin, Solkan
					"
Razstava: Miran Kordež 1962–2023,,/sl/koledar-dogodkov/2024-02-15/2024022009112425/razstava:-miran-kordez-1962–2023/,"

					15.02.2024 - 13.03.2024
				 
","

						Lokarjeva galerija, Ajdovščina
					"
Pravljična urica za otroke,,/sl/koledar-dogodkov/2024-02-27/2024020911064154/pravljicna-urica-za-otroke/,"

					27.02.2024
				 

					17:00
													- 17:30
								","

						Goriška knjižnica Franceta Bevka Nova Gorica
					"
Bralni klub Na isti strani,,/sl/koledar-dogodkov/2024-02-27/2024020911523378/bralni-klub-na-isti-strani/,"

					27.02.2024
				 

					17:00
													- 18:00
								","

						Goriška knjižnica Franceta Bevka Nova Gorica
					"
Predavanje dr. Lučke Kajfež Bogataj: Kako živeti s podnebnimi spremembami,,/sl/koledar-dogodkov/2024-02-27/2024021910222806/predavanje-dr-lucke-kajfez-bogataj:-kako-ziveti-s-podnebnimi-spremembami/,"

					27.02.2024
				 

					18:30
												","

						Lavričeva knjižnica Ajdovščina
					"
Muzejski torkov večer: nova številka revije Studi Goriziani,,/sl/koledar-dogodkov/2024-02-27/2024021911145529/muzejski-torkov-vecer:-nova-stevilka-revije-studi-goriziani/,"

					27.02.2024
				 

					19:00
												","

						grad Kromberk
					"
Razstava Rachele Gigli: Mikorize,,/sl/koledar-dogodkov/2024-01-27/2024020610510787/razstava-rachele-gigli:-mikorize/,"

					27.01.2024 - 20.03.2024
				 
","

						Klub Štala, Lokavec 45
					"
Razstava: Na vroči strani Alp,,/sl/koledar-dogodkov/2024-02-05/2024020912033695/razstava:-na-vroci-strani-alp/,"

					05.02.2024 - 29.02.2024
				 
","

						Goriška knjižnica Franceta Bevka Nova Gorica
					"
Razstava likovnih del Marije Prelog: Zlati poljub/Poljub zlata in ptice,,/sl/koledar-dogodkov/2024-02-05/2024020912071226/razstava-likovnih-del-marije-prelog:-zlati-poljub-poljub-zlata-in-ptice/,"

					05.02.2024 - 29.02.2024
				 
","

						Goriška knjižnica Franceta Bevka Nova Gorica
					"
3. mednarodni extempore In vendar oživi,,/sl/koledar-dogodkov/2024-02-08/2024020709321811/3-mednarodni-extempore-in-vendar-ozivi/,"

					08.02.2024 - 30.04.2024
				 
","

						Točka ZKD Nova Gorica, Gradnikove brigade 25, Nova Gorica
					"
Likovna razstava Bojana Kovača,,/sl/koledar-dogodkov/2024-02-10/2024020111512796/likovna-razstava-bojana-kovaca/,"

					10.02.2024 - 11.03.2024
				 
","

						dvorana Društva MOST
					"
Razstava: Stari čebelnjak Maks pripoveduje: panjske končnice skozi čas,,/sl/koledar-dogodkov/2024-02-11/2024020910284113/razstava:-stari-cebelnjak-maks-pripoveduje:-panjske-koncnice-skozi-cas/,"

					11.02.2024 - 09.03.2024
				 
","

						Galerija Vipavski Križ
					"
Razstava: Hotel Sabotin skozi čas,,/sl/koledar-dogodkov/2024-02-14/2024021510385499/razstava:-hotel-sabotin-skozi-cas/,"

					14.02.2024 - 31.03.2024
				 
","

						Hotel Sabotin, Solkan
					"
Razstava: Miran Kordež 1962–2023,,/sl/koledar-dogodkov/2024-02-15/2024022009112425/razstava:-miran-kordez-1962–2023/,"

					15.02.2024 - 13.03.2024
				 
","

						Lokarjeva galerija, Ajdovščina
					"
